Components,Dec_21,Mar_22,Jun_22,Sep_22,Dec_22
Cash & cash equivalents,805,2544,8084,18048,25822
Accounts receivable,0,541,0,266,755
Inventory,0,13890,0,13050,13050
Prepaid expenses,16,48,30,845,589
Security deposits,0,60,60,60,60
Other short term assets,9,112,802,614,3779
Total current assets,828,17195,8976,32883,44055
YFI,676,153337,136012,117061,136055
ETH,0,1010,3433,5783,2017
BTC,532,190,669,1825,758
Other long term assets,0,1696,1157,1722,3648
Total long term assets,1208,156234,142171,126391,142477
Total assets,2036,173429,151147,159274,186532
